sonda,resistente_exp,sensible_exp
1552967_at,3.150135877,3.175710801
1552969_a_at,2.50452955,2.499608147
1552970_s_at,2.843847068,2.717562235
1552971_at,2.692218198,2.673158341
1552972_at,2.029685476,2.095450117
1552973_at,3.475644661,3.606242936
1552974_at,1.944397619,2.018158105
1552975_x_at,2.240045345,2.191379395
1552976_at,3.970282199,4.075485163
1552977_a_at,6.440336586,6.586229529
1552978_a_at,5.017790149,4.745858264
1552979_at,2.311220316,2.353143351
1552980_at,2.931241253,2.82236625
1552982_a_at,3.164106112,3.245883375
1552985_at,3.095412947,3.1982927
1552986_at,3.683303464,3.696075257
1552987_a_at,2.127281542,2.169636872
1552988_at,2.515037943,2.627980511
1552990_at,2.890497447,2.992011592
1552991_at,3.258477607,3.246674216
1552993_at,2.255403237,2.305245642
1552995_at,4.916715738,5.056254341
1552997_a_at,3.435867442,3.495313647
1552998_at,2.483569374,2.604237829
1552999_a_at,3.034745989,3.145583324
1553002_at,2.624585512,2.62754876
1553003_at,3.347729605,3.435450684
1553004_at,3.008358812,3.123147378
1553006_at,3.006905213,3.018848284
1553007_a_at,3.593566896,3.714550005
1553009_s_at,3.240031302,3.293345179
1553011_at,4.325221184,4.394315915
1553013_at,3.391270509,3.398391081
1553015_a_at,6.135183373,6.406874258
1553016_at,4.463235384,4.471800083
1553019_at,4.774120691,4.772867618
1553020_at,2.991852738,2.926196902
1553021_s_at,3.37901989,3.477602909
1553022_at,2.239760469,2.270298494
1553023_a_at,3.81678207,3.707693767
1553024_at,2.123851585,2.237646008
1553025_at,2.589838255,2.669499111
1553027_a_at,2.922515652,2.984262509
1553028_at,3.132992764,3.217437974
1553030_a_at,4.593019314,4.427121173
1553031_at,3.362191041,3.496768345
1553032_at,2.824939978,2.915494275
1553033_at,2.824103255,2.950572653
1553034_at,4.496494,4.463276655
1553036_at,2.603648381,2.584959592
1553037_a_at,2.88703915,2.966549516
1553039_a_at,5.695111147,5.790357863
1553041_at,3.536628744,3.512314923
1553042_a_at,4.87127435,4.815919976
1553043_a_at,7.645191552,7.349414
1553044_at,3.19274543,3.270341063
1553045_at,3.30367852,3.303652998
1553046_s_at,5.30501394,5.329155427
1553047_at,4.89529248,4.997199407
1553048_a_at,5.844533327,5.814985401
1553051_s_at,3.247665299,3.391221956
1553052_at,2.531464573,2.635445612
1553053_at,3.947168508,4.013812004
1553055_a_at,2.455556476,2.606512496
1553057_at,3.253601722,3.351133093
1553058_at,3.529264218,3.678440769
1553059_at,2.827040817,2.878041101
1553060_at,4.911470949,4.92079833
1553061_at,4.120180753,4.235300036
1553062_at,3.637358462,3.705889916
1553063_at,4.411532285,4.557826548
1553064_at,4.14165127,4.116666644
1553066_at,2.85064738,2.908218949
1553067_a_at,3.088505576,3.104947669
1553069_at,2.887041721,2.911776061
1553070_a_at,3.316028175,3.365691572
1553071_a_at,3.352406133,3.488766362
1553072_at,3.563811927,3.617314403
1553074_at,2.867338353,2.868901118
1553075_a_at,2.283683386,2.330749459
1553076_at,2.559113827,2.579803059
1553077_at,2.621618871,2.704681777
1553078_at,3.327065905,3.453316079
1553079_at,2.987126023,3.084273125
1553080_at,2.548557231,2.630866596
1553081_at,4.83204063,4.940609283
1553082_at,3.866580198,3.884890461
1553083_at,3.840029376,3.876704662
1553084_at,2.85212024,2.971225072
1553086_at,2.440563627,2.463654702
1553087_at,3.124258514,3.175104648
1553088_a_at,5.172737291,5.295113755
1553089_a_at,3.144385296,3.159942517
1553093_a_at,2.606065454,2.728392543
1553094_at,3.764886433,3.870606423
1553096_s_at,7.610198118,7.735536565
1553099_at,6.874650112,6.348708992
1553101_a_at,5.935860748,5.957558873
1553102_a_at,5.910371757,6.008957844
1553103_at,7.330105621,7.230897478
1553105_s_at,3.18138858,3.103482263
1553106_at,5.281441245,4.985401773
1553107_s_at,6.051189277,6.093263305
1553108_at,4.131091878,3.812533368
1553111_a_at,3.592812652,3.650397183
1553112_s_at,4.794837958,4.906090752
1553113_s_at,7.29467066,7.124004888
1553114_a_at,4.37922442,4.424606088
1553115_at,4.959573627,4.953561379
1553117_a_at,4.321464554,4.308713586
1553118_at,6.747681046,6.810802173
1553120_at,2.410164415,2.506661492
1553122_s_at,3.21102231,3.261784172
1553123_at,3.415042659,3.450091031
1553125_x_at,3.223129374,3.278095862
1553126_a_at,2.293026977,2.292952871
1553127_a_at,3.121804626,3.196804022
1553129_at,2.283130204,2.23173705
1553130_at,4.665553985,4.784601679
1553131_a_at,3.991157222,4.108863697
1553132_a_at,5.497052744,4.748564053
1553133_at,8.070068547,7.994052827
1553134_s_at,4.365186681,4.181261708
1553136_at,5.195706492,5.155976442
1553137_s_at,3.090886145,3.20625505
1553138_a_at,5.824134054,5.85698687
1553139_s_at,3.146716969,3.212459181
1553140_at,2.593574834,2.5246074
1553141_at,2.694121506,2.680006999
1553142_at,2.356419913,2.311529798
1553145_at,4.72693811,4.398965112
1553146_at,2.552221409,2.597685469
1553147_at,2.318249635,2.35631068
1553148_a_at,2.781794177,2.770691826
1553150_at,2.46757765,2.480015264
1553151_at,2.537706932,2.527849385
1553153_at,4.670951853,4.569201231
1553155_x_at,3.205597306,3.216140816
1553156_at,3.629978658,3.668279529
1553157_at,3.42852635,3.457671446
1553158_at,3.101769089,3.130502946
1553159_at,4.646522511,4.708385539
1553162_x_at,4.356840908,4.258535159
1553163_at,4.689543655,4.806280897
1553165_at,3.209624237,3.219743745
1553166_at,4.062214398,4.076360358
1553167_a_at,4.337549948,4.866867418
1553168_at,3.683499621,3.725115734
1553169_at,4.184938698,4.372155823
1553171_x_at,2.517036336,2.647325267
1553172_at,7.113069492,7.154922184
1553174_at,5.027313605,5.131273106
1553175_s_at,3.053543456,3.019254667
1553176_at,2.919406949,3.020224102
1553177_at,2.845437192,2.703214958
1553178_a_at,4.848544957,4.971444348
1553179_at,2.911288315,3.032689138
1553180_at,2.058990911,2.07959884
1553181_at,3.359334803,3.357745068
1553183_at,3.586092055,3.186498517
1553185_at,8.219345372,8.227182674
1553186_x_at,7.226763278,7.262683609
1553188_s_at,3.078234752,3.054266951
1553190_s_at,4.418102155,4.585496138
1553191_at,2.257050114,2.243997354
1553192_at,2.30535438,2.242175731
1553193_at,2.817681552,2.79688191
1553194_at,2.624422956,2.812927324
1553196_a_at,2.887290956,2.981029438
1553197_at,2.35615033,2.387940701
1553199_at,2.229593108,2.275177225
1553202_at,3.326851875,3.386912253
1553204_at,4.299420292,4.190025349
1553205_at,5.147228823,5.198345435
1553207_at,3.915758389,4.03260421
1553208_s_at,2.57667831,2.626352511
1553209_at,4.202837377,4.328326342
1553211_at,2.943228357,2.913436051
1553212_at,4.568300079,4.638221134
1553213_a_at,2.778613274,2.882870191
1553214_a_at,2.191979724,2.204256673
1553215_s_at,4.291964877,4.342698082
1553216_at,2.921008277,2.879272093
1553217_s_at,2.935527115,2.810789222
1553218_a_at,7.140891884,6.931863499
1553219_a_at,2.669843708,2.70796239
1553220_at,6.34662848,6.409880653
1553221_at,4.963675311,4.868722218
1553222_at,6.613245808,6.768593878
1553224_at,3.050661368,2.996223173
1553225_s_at,2.911805922,2.601817092
1553226_at,2.984744322,2.96901439
1553227_s_at,7.215363065,7.295928919
1553228_at,2.096930246,2.131370499
1553229_at,3.471055662,3.200066317
